grupo,variedad,nombre_completo,familia_color,hex_referencia,rol_estructural,origen,confianza_color,notas
Boca de Dragón,Monaco Dark Pink,Snapdragon Monaco Dark Pink,ROSA_FUERTE,#C2185B,LINEA,DCB,alta,Color explícito en el nombre
Boca de Dragón,Monaco Orange,Snapdragon Monaco Orange,NARANJA,#EF6C00,LINEA,DCB,alta,Color explícito en el nombre
Boca de Dragón,Monaco Plumblossom,Snapdragon Monaco Plumblossom,LAVANDA,#B39DDB,LINEA,DCB,media,Plumblossom = malva claro; confirmar en campo
Boca de Dragón,Monaco Red,Snapdragon Monaco Red,ROJO,#C62828,LINEA,DCB,alta,Color explícito en el nombre
Boca de Dragón,Opus Fresh,Snapdragon Opus Fresh,BLANCO,#FFFFFF,LINEA,DCB,alta,CONFIRMADO por variedades_bitacora.csv: se usa para condolencias y bouquets neutros. Tallos mas gruesos que Appleblossom
Boca de Dragón,Opus Appleblossom,Snapdragon Opus Appleblossom,ROSA_CLARO,#F8BBD0,LINEA,DCB,media,Appleblossom = rosa muy pálido
Boca de Dragón,Opus Pink,Snapdragon Opus Pink,ROSA_MEDIO,#EC407A,LINEA,DCB,alta,Color explícito en el nombre
Boca de Dragón,Potomac Royal,Snapdragon Potomac Royal,MORADO,#6A1B9A,LINEA,DCB,media,Royal = morado intenso
Boca de Dragón,Potomac Crimson,Snapdragon Potomac Crimson,ROJO,#B71C1C,LINEA,DCB,alta,Crimson = rojo carmín
Boca de Dragón,Cannes Red,Snapdragon Cannes Red,ROJO,#C62828,LINEA,DCB,alta,Color explícito en el nombre
Boca de Dragón,Cannes Pink,Snapdragon Cannes Pink,ROSA_MEDIO,#EC407A,LINEA,DCB,alta,Color explícito en el nombre
Boca de Dragón,Cannes Lavender,Snapdragon Cannes Lavender,LAVANDA,#9575CD,LINEA,DCB,alta,Color explícito en el nombre
Boca de Dragón,Cannes Light Bronze,Snapdragon Cannes Light Bronze,ALBARICOQUE,#F2A65A,LINEA,DCB,alta,CORREGIDO por variedades_bitacora.csv: es un APRICOT unico que no existe en ninguna otra serie. Irremplazable — mantener siempre
Boca de Dragón,Cannes Red Delight,Snapdragon Cannes Red Delight,ROJO,#C62828,LINEA,DCB,alta,Color explícito en el nombre
Boca de Dragón,MB Ivory,Snapdragon Madame Butterfly Ivory,MARFIL,#FFF3E0,LINEA,DCB,alta,Variedad preferida — tallo grueso y largo
Boca de Dragón,MB Bronze,Snapdragon Madame Butterfly Bronze,BRONCE,#C68642,LINEA,DCB,alta,Variedad preferida — tallo grueso y largo
Gomphrena,Quis Carmine,Gomphrena Quis Carmine,FUCSIA,#AD1457,RELLENO,DCB,alta,Caballo de batalla — aparece en 8 productos
Gomphrena,Quis Sequin,Gomphrena Quis Sequin,ROSA_APAGADO,#C48B9F,RELLENO,DCB,alta,CORREGIDO por variedades_bitacora.csv: color apagado rosado envejecido. En OBSERVAR — no justifica precio vs Carmine y tiene cabezas caidas
Gomphrena,Quis Pink,Gomphrena Quis Pink,ROSA_MEDIO,#EC407A,RELLENO,DCB,alta,Color explícito en el nombre
Gomphrena,Audrey White,Gomphrena Audrey White,BLANCO,#FFFFFF,RELLENO,DCB,alta,Color explícito en el nombre
Gomphrena,Raspberry Cream,Gomphrena Raspberry Cream,ROSA_CREMA,#F48FB1,RELLENO,DCB,media,Bicolor frambuesa/crema
Gomphrena,Salmon Pastel,Gomphrena Salmon Pastel,SALMON,#FFAB91,RELLENO,DCB,alta,Color explícito en el nombre
Campanula,Champion Pink,Campanula Champion Pink,ROSA_MEDIO,#F06292,LINEA,DCB,alta,Color explícito en el nombre
Campanula,Champion White,Campanula Champion White,BLANCO,#FFFFFF,LINEA,DCB,alta,Requerida en Bouquet pureza
Campanula,Champion Lavender,Campanula Champion Lavender,LAVANDA,#9575CD,LINEA,DCB,alta,CONFLICTO SIN RESOLVER — decisiones_manejo.csv (2026-07-07) dice SACAR del cultivo por 0.64 t/planta vs 0.92 de la blanca; variedades_bitacora.csv (CAMBIOS SEM24) dice MANTENER en zona correcta porque el problema es estres hidrico en 3B y no la variedad. PREGUNTAR A VANESSA
Statice,Forever Happy,Statice Forever Happy,MULTICOLOR,#D8A0C0,RELLENO,DCB,media,CORREGIDO por variedades_bitacora.csv: tiene colores APRICOT y NARANJA en las flores que lo hacen muy bonito — NO es un lila plano. Colapso productivo documentado sem 20+
Statice,Ruso,Limonium Ruso,MORADO,#7E57C2,RELLENO,DCB,media,Limonium Ruso = violeta azulado
Statice,Hipster White,Statice Hipster White,BLANCO,#FFFFFF,RELLENO,DCB,alta,Color explícito en el nombre
Statice,Forever Silver,Statice Forever Silver,PLATA,#E0E0E0,RELLENO,DCB,alta,Neutro — sirve de puente entre familias
Statice,Hipster Apricot,Statice Hipster Apricot,ALBARICOQUE,#FFCC80,RELLENO,DCB,alta,Color explícito en el nombre
Zinnia,Aurora,Zinnia Aurora,NARANJA,#FB8C00,FOCAL,DCB,media,Aurora = naranja/coral
Zinnia,Ballerina,Zinnia Ballerina,ROSA_CLARO,#F8BBD0,FOCAL,DCB,alta,CORREGIDO por variedades_bitacora.csv: rosada clarita. Menos productiva que Aurora — evaluar si justifica
Zinnia,Linen,Zinnia Linen,CREMA,#FFF8E1,FOCAL,DCB,media,Linen = crema lino
Zinnia,Benary Giant Bright Pink,Zinnia Benary Giant Bright Pink,ROSA_FUERTE,#D81B60,FOCAL,DCB,alta,Color explícito en el nombre
Zinnia,Floret Golden Hour,Zinnia Floret Golden Hour,DORADO,#F9A825,FOCAL,DCB,media,Golden Hour = dorado/mostaza
Zinnia,Floret Victorian Wedding,Zinnia Floret Victorian Wedding,ROSA_PALIDO,#F8BBD0,FOCAL,DCB,baja,El nombre NO indica color — CONFIRMAR
Celosia,Rose Gold,Celosia Rose Gold,ROSA_DORADO,#E8A87C,TEXTURA,DCB,media,Bicolor rosa/dorado
Celosia,Raspberry Lemonade,Celosia Raspberry Lemonade,ROSA_AMARILLO,#F06292,TEXTURA,DCB,baja,Bicolor — CONFIRMAR dominante
Celosia,Spun Sugar,Celosia Spun Sugar,ROSA_CLARO,#F8BBD0,TEXTURA,DCB,media,Spun Sugar = rosa algodón
Celosia,Summer Sherbet,Celosia Summer Sherbet,NARANJA_PASTEL,#FFCC80,TEXTURA,DCB,media,Sherbet = naranja pastel
Celosia,Cristata Verda Green,Celosia Cristata Verda Green,VERDE,#7CB342,FOCAL,DCB,alta,Cristata = cresta; 1 tallo/planta
Celosia,Shimmer Mix,Celosia Shimmer Mix,MIX,,TEXTURA,DCB,baja,MEZCLA — no asignar color único
Celosia,Dreams Mix,Celosia Dreams Mix,MIX,,TEXTURA,DCB,baja,MEZCLA — no asignar color único
Amaranto,Emerald Tails,Amaranto Emerald Tails,VERDE,#558B2F,LINEA_CASCADA,DCB,alta,Cascada verde — estructura vertical descendente
Amaranto,Velvet Curtains,Amaranto Velvet Curtains,BURDEOS,#6D1B33,LINEA_CASCADA,DCB,media,Velvet = burdeos profundo
Amaranto,Love Lies Bleeding,Amaranto Love Lies Bleeding,BURDEOS,#8E1537,LINEA_CASCADA,DCB,media,Cascada roja profunda clásica
Amaranto,Coral Fountain,Amaranto Coral Fountain,CORAL,#FF7043,LINEA_CASCADA,DCB,alta,Color explícito en el nombre
Amaranto,Mira,Amaranto Mira,SIN_DATO,,LINEA_CASCADA,DCB,baja,El nombre NO indica color — CONFIRMAR
Larkspur,Misty Lavender,Larkspur Misty Lavender,LAVANDA,#B39DDB,LINEA,DCB,alta,Ambiente fresco y frío; 15 tallos/paquete
Larkspur,Light Blue,Larkspur Light Blue,AZUL_CLARO,#90CAF9,LINEA,DCB,alta,Único azul verdadero del catálogo
Ammi,Ammi Majus,Ammi Majus,BLANCO,#FFFFFF,RELLENO_AIREADO,DCB,alta,Umbela blanca — da aire y transparencia
Matricaria,Snowball,Matricaria Snowball,BLANCO,#FFFFFF,RELLENO,DCB,alta,Color explícito en el nombre
Matricaria,Vegmo Single,Matricaria Vegmo Single,BLANCO,#FFFDE7,RELLENO,DCB,media,Margarita blanca centro amarillo
Strawflower,Apricot,Strawflower Apricot,ALBARICOQUE,#FFCC80,TEXTURA,DCB,alta,PINCH obligatorio
Strawflower,Cranberry Rose,Strawflower Cranberry Rose,ROSA_VINO,#AD1457,TEXTURA,DCB,alta,PINCH obligatorio
Strawflower,Silvery Rose,Strawflower Silvery Rose,ROSA_PLATA,#E1BEE7,TEXTURA,DCB,media,PINCH obligatorio
Strawflower,Bright Rose,Strawflower Bright Rose,ROSA_FUERTE,#D81B60,TEXTURA,DCB,alta,PINCH obligatorio
Strawflower,Purple Red,Strawflower Purple Red,ROJO_MORADO,#8E24AA,TEXTURA,DCB,alta,PINCH obligatorio
Strawflower,Apricot Peach,Strawflower Apricot Peach,DURAZNO,#FFAB91,TEXTURA,DCB,alta,PINCH obligatorio
Ammobium,Ammobium Alatum,Ammobium Alatum,BLANCO,#FFFDE7,RELLENO,DCB,alta,Blanco centro amarillo — textura seca
Green Ball,Punky Ball,Green Ball Punky Ball,VERDE,#8BC34A,TEXTURA,DCB,alta,Neutro verde — aparece en 8 productos. Es un DIANTHUS: nombre homologado en CAMPO es "Dianthus Green Ball"
Girasol,Pro Cut White Lite,Girasol Pro Cut White Lite,BLANCO_CREMA,#FFF9C4,FOCAL,DCB,alta,Focal principal del catálogo
Girasol,Pro Cut (sin pétalos),Girasol Pro Cut sin pétalos,VERDE_MARRON,#6D4C41,FOCAL_TEXTURA,DCB,alta,Solo el centro — uso deliberado como textura
Trachellium,White Lake,Trachelium White Lake,BLANCO,#FFFFFF,SECUNDARIA,DCB,alta,Ventana larga 8-16 sem
Trachellium,Purple Lake,Trachelium Purple Lake,MORADO,#7B1FA2,SECUNDARIA,DCB,alta,Ventana larga 8-16 sem
Dusty Miller,Silver Dust,Dusty Miller Silver Dust,PLATA,#CFD8DC,FOLLAJE,DCB,alta,Se queda enano en casi todos los ensayos
Dusty Miller,New Look,Dusty Miller New Look,PLATA,#CFD8DC,FOLLAJE,DCB,alta,Se queda enano en casi todos los ensayos
Lisianthus,Megalo Orange Deep,Lisianthus Megalo Orange Deep,NARANJA,#EF6C00,FOCAL,DCB,alta,Ciclo largo 19-23 sem a campo
Lisianthus,Jolly 3 Pink,Lisianthus Jolly 3 Pink,ROSA_MEDIO,#EC407A,FOCAL,DCB,alta,Ciclo largo 19-23 sem a campo
Lisianthus,Megalo 3 Pink Rim,Lisianthus Megalo 3 Pink Rim,BLANCO_BORDE_ROSA,#FCE4EC,FOCAL,DCB,alta,Bicolor — borde rosa sobre blanco
